lang,cid,sid,topic,metric_description,metric_code,page,file_stem,sasb_category,sasb_unit_of_measure,sasb_key_terms,sasb_what_counts,pred_label,category_match,unit_match
chinese,pegavision,1,Affordability & Pricing,說明各項產品價格資訊如何揭露給顧客或其代理人,HC-MS-250a.1,57,pegavision_057,Discussion and Analysis,n/a,pricing policies|affordability|patient assistance|access to medicines|price transparency|reimbursement|low-income access|humanitarian pricing,"Qualitative description of: pricing policies and governance, patient assistance programs, differential/tiered pricing strategies for low-income markets, reimbursement support, and any commitments to expand access to medical devices.",,,
chinese,pegavision,4,Product Safety,(1) 發布產品召回的次數,HC-MS-240a.2,57,pegavision_057,Quantitative,Number,product recall|recalled units|FDA recall|device recall|medical device recall|safety recall|Class I recall|Class II recall,"Two values: (1) number of distinct products (SKUs/models) subject to recall during the period; (2) total units recalled. Includes voluntary and mandatory recalls. Classify by recall class (Class I, II, III) where applicable. Scope: all markets.",,,
chinese,pegavision,5,Product Safety,(2) 總召回產品單位數,HC-MS-240a.2,57,pegavision_057,Quantitative,Number,product recall|recalled units|FDA recall|device recall|medical device recall|safety recall|Class I recall|Class II recall,"Two values: (1) number of distinct products (SKUs/models) subject to recall during the period; (2) total units recalled. Includes voluntary and mandatory recalls. Classify by recall class (Class I, II, III) where applicable. Scope: all markets.",,,
chinese,pegavision,6,Product Safety,列入任何公開醫療產品安全或不良事件警示資料庫的產品,HC-MS-240a.3,57,pegavision_057,Quantitative,Number,product fatalities|product injuries|adverse events|MDR|medical device reporting|safety events|corrective action|CAPA,"Count of fatalities and injuries reported to regulatory bodies (e.g. FDA MDR, EU IVDR) associated with the entity's products. Must include description of corrective actions taken (CAPA, design changes, labeling updates, user training).",,,
chinese,pegavision,7,Product Safety,與產品相關的死亡事件數量,HC-MS-240a.3,57,pegavision_057,Quantitative,Number,product fatalities|product injuries|adverse events|MDR|medical device reporting|safety events|corrective action|CAPA,"Count of fatalities and injuries reported to regulatory bodies (e.g. FDA MDR, EU IVDR) associated with the entity's products. Must include description of corrective actions taken (CAPA, design changes, labeling updates, user training).",,,
chinese,pegavision,9,Ethical Marketing,因虛假行銷主張所引發之法律訴訟造成的金額損失總額,HC-MS-270a.1,57,pegavision_057,Quantitative,Presentation currency,false marketing|off-label promotion|monetary losses|legal proceedings|FDA enforcement|marketing violations|promotional claims,"Total monetary losses (fines, settlements, judgements) from legal proceedings related to false, misleading, or off-label marketing and promotion of medical products. EXCLUDES legal defence costs.",,,
chinese,pegavision,18,Business Ethics,因行賄或貪污相關法律訴訟所造成之金額損失總額,HC-MS-510a.1,57,pegavision_057,Quantitative,Presentation currency,bribery|corruption|anti-kickback|FCPA|monetary losses|legal proceedings|healthcare compliance|fraud,"Total monetary losses (fines, penalties, settlements) from legal proceedings related to bribery, corruption, anti-kickback violations (e.g. under US Anti-Kickback Statute or equivalent), and fraudulent billing. EXCLUDES legal defence fees.",,,
chinese,pegavision,20,Activity Metrics,依產品類別劃分之銷售單位總數,HC-MS-000.A,30,pegavision_030,Quantitative,Number,units sold|product category|sales volume|medical devices|product mix,N/A,,,
chinese,pegavision,11,Product Design & Lifecycle Management,說明評估與管理產品中化學品對環境與人體健康影響之流程，並因應永續產品的市場需求,HC-MS-410a.1,50,pegavision_050,Discussion and Analysis,n/a,product design|lifecycle management|sustainable products|chemical substances|packaging materials|design for environment|RoHS|REACH|product stewardship,"Qualitative description of: process to identify and manage chemical/substance risks in products and packaging, lifecycle impact assessment, design-for-environment programs, compliance with chemical regulations (RoHS, REACH), and efforts to meet customer sustainability requirements.",,,
chinese,pegavision,16,Supply Chain Management,說明於配銷鏈中維持產品可追溯性之措施,HC-MS-430a.2,50,pegavision_050,Discussion and Analysis,n/a,supply chain management|product integrity|delivery risk|supplier qualification|supply chain resilience|counterfeit prevention|traceability,"Qualitative description of: supplier qualification and onboarding, monitoring and audit programs, traceability systems, counterfeit product prevention, business continuity planning, and management of supply disruption risks.",,,
chinese,pegavision,17,Supply Chain Management,說明與關鍵原料使用相關之風險管理措施,HC-MS-430a.3,50,pegavision_050,Discussion and Analysis,n/a,critical materials|supply chain risks|conflict minerals|rare materials|supply diversification|single-source risk|material substitution,"Qualitative discussion of: identification of critical or sole-source materials, supply concentration risks, conflict mineral due diligence, strategies for supply diversification, and material substitution plans.",,,
chinese,npc,1,溫室氣體排放,範疇 1 排放之全球總排放量,TC-SC-110a.1,56,npc_056,Quantitative,Metric tons (t) CO2-e|Percentage (%),Scope 1 emissions|greenhouse gas|GHG|perfluorocompounds|PFC|carbon emissions|emissions-limiting regulations|global warming potential,"Two values: (1) gross global Scope 1 GHG emissions in metric tons CO2-equivalent, and percentage covered under emissions-limiting regulations (e.g. cap-and-trade, carbon tax); (2) subset of those emissions from perfluorocompounds (PFCs) used in semiconductor manufacturing. Excludes biogenic CO2.",,,
chinese,npc,20,勞工健康與安全,(a) 直接員工之 (1) 總可紀錄事故比率 (TRIR),TC-SC-320a.2,79,npc_079,Quantitative,Rate|Number,TRIR|total recordable incident rate|fatality rate|lost time injury|occupational injury|workplace safety|contract workers,"Four values: TRIR and fatality rate, each reported separately for (a) direct employees and (b) contract employees. TRIR = (number of recordable incidents × 200,000) / total hours worked. Fatality rate = fatalities per 100,000 workers.",,,
